Model Name,N = 10,Time Traverse N = 10,Time Compute N= 10,Std Compute N= 10,N = 18,Time Traverse N = 18,Time Compute N= 18,Std Compute N= 18,N = 32,Time Traverse N = 32,Time Compute N= 32,Std Compute N= 32,N = 56,Time Traverse N = 56,Time Compute N= 56,Std Compute N= 56,N = 100,Time Traverse N = 100,Time Compute N= 100,Std Compute N= 100
Time abu,10,27.468334708520363,0.2002139440039173,0.03221483697793551,18,26.957303321652788,0.7395802700007335,0.11936227366951267,32,26.724637287709374,4.112359782007989,0.32228459816429866,56,26.659881850437134,22.334597520008682,0.8140875561210702,100,26.63729539344333,141.87414251199922,4.161782501095633
Time bu,10,27.46833470852238,0.06603479999583214,0.012384221448297327,18,26.957303257016207,0.3047672339878045,0.03912924358188586,32,26.724637416174126,1.3329044480039738,0.07828865249618681,56,26.65988188132531,13.064668336000759,0.3496410805256797,100,26.63729539270331,85.72465750999982,0.8704523217262929
Time b,10,27.468334708498254,0.017005562011618167,0.00809068723207487,18,26.957303257007748,0.037663852008990945,0.009459924149646571,32,26.724637259258145,0.11033473600167781,0.02184989033355169,56,26.659881796138702,0.45187608000123874,0.041530843233721415,100,26.63729539270753,1.7826471499935723,0.08927460445539319
Time SOCP abu,10,27.468334737575027,0.02480758400633931,0.005316203046862267,18,26.95730325978562,0.0403974820044823,0.006842980771724288,32,26.724637263055737,0.0733791959984228,0.018837063871651686,56,26.659881866996237,0.12085432199528441,0.020302830622526608,100,26.637295399496367,0.22692608201410622,0.02659523649342579
Time SOCP b,10,27.46833471611992,0.021169189997017383,0.0017065877203150278,18,26.957303315163042,0.03396792798070237,0.0015177966003064142,32,26.724637280196653,0.06882682601455599,0.018394365260267193,56,26.659881858926102,0.10871916600503027,0.014568222764776291,100,26.637295453624997,0.20854107999475674,0.027266418380366822
Time SQP abu,10,27.468334879236235,0.400649100006558,0.04409430738971814,18,26.9573042747733,0.732807808003854,0.07405403822441656,32,26.724643039630514,2.147664576000534,0.13202199128465475,56,26.75258625757451,16.87081953199813,0.47729931257639063,100,26.723610183630754,41.162563095998486,0.7115692961034721
Time SQP b,10,27.470999588137968,0.8828295820043423,0.08864136588273287,18,26.960595235571628,1.2683861359884032,0.0896239120508182,32,26.74263685535544,3.428087116004899,0.19851675071516875,56,26.773199621007993,8.166048951994162,0.3347628159063861,100,27.00522574949981,16.27440078801941,0.40235320223361654
