Model Name,N = 10,Time Traverse N = 10,Time Compute N= 10,Std Compute N= 10,N = 18,Time Traverse N = 18,Time Compute N= 18,Std Compute N= 18,N = 32,Time Traverse N = 32,Time Compute N= 32,Std Compute N= 32,N = 56,Time Traverse N = 56,Time Compute N= 56,Std Compute N= 56,N = 100,Time Traverse N = 100,Time Compute N= 100,Std Compute N= 100
Time abu,10,20.06047404315482,0.1714384560007602,0.027488957661406823,18,20.06082906547975,0.8386751160072162,0.07176150932474211,32,20.060654397420766,4.917132224005181,0.41460886067526276,56,20.07432536887271,24.171112114004792,1.975686330301094,100,20.066204732566856,130.44441171399782,9.268842660716883
Time bu,10,20.06047404316009,0.03629493999527767,0.002556855005663733,18,20.060829065474334,0.23437965799355878,0.037226358761601054,32,20.06065439742378,0.8705060899979435,0.08175264340727319,56,20.074325494194337,4.81583655200433,0.2936958647703293,100,20.066204706660116,39.54956979199545,0.6542518492286239
Time b,10,20.060474043151746,0.00751948201097548,0.005392465280758806,18,20.060829065474362,0.017917397995479405,0.009410652757757423,32,20.060654397420286,0.04646331799449399,0.01086417109009481,56,20.074325365929553,1.4853666339907796,0.12904115044665418,100,20.066204706383065,5.5434068239992484,0.19008914375608255
Time SOCP abu,10,20.06047404760671,0.02471425399184227,0.0066314633394601264,18,20.060829067473414,0.036758074006065726,0.0017104505790344197,32,20.060654402116675,0.08341071599861608,0.024118811292590588,56,20.074325383203973,0.11782599600031972,0.010917646014657015,100,20.066204713551933,0.21832582801114767,0.027864304973128924
Time SOCP b,10,20.0604740569008,0.020312838004902006,0.0032621989397290706,18,20.060829091458757,0.03382262999657541,0.0032594949787486454,32,20.06065439933503,0.06767877200851218,0.014639578646026582,56,20.07432536706376,0.11610744000179693,0.02238475910405822,100,20.06620471181056,0.20422217599349096,0.02673142362069698
Time SQP abu,10,20.060506022974916,0.12751744400477036,0.02063972327585858,18,20.06083059656029,0.30609550199005753,0.041053041715603304,32,20.060656172129523,0.48481090399669485,0.05473235437761699,56,20.074325372563155,3.1787886960059404,0.1850405704370434,100,20.06620474398375,6.264736021996941,0.23066161423437911
Time SQP b,10,20.064534347212287,0.5322107779956423,0.04885523079421064,18,20.064836621761813,0.41994212800404057,0.04583913006249915,32,20.064642209202134,2.0089352160017007,0.1497753368176087,56,20.123408146429668,8.211817828004714,0.29458491534014286,100,20.262123061812286,16.05442653599661,0.42926328496513605
