Model Name,N = 10,Time Traverse N = 10,Time Compute N= 10,Std Compute N= 10,N = 18,Time Traverse N = 18,Time Compute N= 18,Std Compute N= 18,N = 32,Time Traverse N = 32,Time Compute N= 32,Std Compute N= 32,N = 56,Time Traverse N = 56,Time Compute N= 56,Std Compute N= 56,N = 100,Time Traverse N = 100,Time Compute N= 100,Std Compute N= 100
Time abu,10,27.47865546984445,0.2235638099955395,0.03573735343886984,18,26.960843824457662,0.7451355979824439,0.08800775052572801,32,26.729379555092116,4.12201515799854,0.21988491088251066,56,26.70501692117384,22.466471015987917,1.0105072133172774,100,26.67982718125288,147.13966029199307,5.360042019872852
Time bu,10,27.47865546982883,0.16299346400424838,0.024860631235744085,18,26.96084384755172,0.47670887398999184,0.06043745381149777,32,26.729379731754882,2.6103074759803713,0.13473450799869022,56,26.705016927352716,13.987687047994696,0.34709353450764224,100,26.679827186182493,84.61977031999733,0.9294642781722523
Time b,10,27.47865546981609,0.015355335995554924,0.0044605150694041786,18,26.960843800088874,0.05286758201662451,0.010942972445511878,32,26.72937955431825,0.11496437600813807,0.024565632409301756,56,26.705016921009033,0.35235845200717447,0.04316136252757269,100,26.679827181227484,1.7334085999894888,0.09859992291191294
Time SOCP abu,10,27.478655488524986,0.03011597600299865,0.015859903862961447,18,26.960843870246055,0.04055624399799854,0.0031957890441094445,32,26.729379572720653,0.07706181998830289,0.016372098741346108,56,26.705016930514944,0.13014713399577885,0.023833297709895403,100,26.67982720552872,0.22881217200309037,0.030609774366126965
Time SOCP b,10,27.478655566500862,0.02077925599180162,0.002537627141952478,18,26.96084394770545,0.03654572403524071,0.0026035574937931815,32,26.729379562858966,0.0654455919796601,0.010759776424526458,56,26.70501702239216,0.12157676198985427,0.02784365135830039,100,26.679827187072846,0.20118780600838362,0.028245122090734626
Time SQP abu,10,27.478655476731806,0.5168321420205757,0.04387690337326551,18,26.96084383323781,1.1436099459975957,0.07547827003873714,32,26.72940845660192,2.7019304740056396,0.1665673184921269,56,26.705017165325227,7.97535613800399,0.262082658909552,100,26.685847089489595,28.0744118539989,0.5585422096003619
Time SQP b,10,27.478762327903336,0.8545899359881878,0.0774515045668357,18,26.960870185382475,1.5275253980048,0.10321303377292251,32,26.748526638187347,4.6700235779955985,0.18408321856190255,56,27.396163262048358,8.015423415992409,0.2651295093844008,100,27.70563600175548,16.04338816601783,0.40324055332006464
