Model Name,N = 10,Time Traverse N = 10,Time Compute N= 10,Std Compute N= 10,N = 18,Time Traverse N = 18,Time Compute N= 18,Std Compute N= 18,N = 33,Time Traverse N = 33,Time Compute N= 33,Std Compute N= 33
Time SOCP abu,10,28.6685635115049,0.04723656399990432,0.0150571876445333,18,29.319805099882906,0.07189852399751544,0.006464676307980916,33,29.327046046664755,0.13433734999969602,0.020561357888484847
Time SOCP b,10,nan,0.04909081800375134,0.013326535482139981,18,118.1358421266083,0.0872077799984254,0.021056430849311837,33,117.75437356320239,0.1337470200052485,0.011063121717012363
Time SQP abu,10,28.668865922608063,4.935669715999393,0.28499255658015205,18,29.321332211450823,12.845155620001023,0.4604640198443703,33,29.327388266987803,27.12918527999893,0.6356041912147636
Time SQP b,10,48637.91567262143,2.966701049997937,0.1611400448211888,18,118.37951353392911,5.562376392000588,0.21595905173164914,33,90.61722558239805,1.4452847279980778,0.10044361978342416
