Model Name,N = 10,Time Traverse N = 10,Time Compute N= 10,Std Compute N= 10,N = 18,Time Traverse N = 18,Time Compute N= 18,Std Compute N= 18,N = 32,Time Traverse N = 32,Time Compute N= 32,Std Compute N= 32,N = 56,Time Traverse N = 56,Time Compute N= 56,Std Compute N= 56
Time abu,10,20.767166024717632,3.6567190060066057,0.21012833222462163,18,20.767389163496766,17.79375324400142,0.4324447801632339,32,20.767517451788652,70.5567805640027,0.6090433053622315,56,20.768335281748616,357.6457174900081,5.475874616748121
Time bu,10,20.767165930977715,3.382543247975409,0.1735747280448843,18,20.76738906155625,16.047530568013897,0.267113430367651,32,20.767517367058772,66.56682452399284,1.8492702401631005,56,20.76833528164723,303.5547500340082,3.7875093553868924
Time b,10,21.86692462475874,0.023775222017429768,0.0012176553610688883,18,21.86693195012235,0.06987962600775063,0.016121999632459583,32,21.8673248586365,0.20554209199734033,0.03791757738170097,56,21.868225431711206,0.40214535801671447,0.021726272960038116
Time SOCP abu,10,20.76716600674059,0.032726553985849026,0.0014828382368031563,18,20.767389075744386,0.06852884997613728,0.017839825677319777,32,20.767517418614368,0.11826399600598961,0.023114543724910452,56,20.76833528904219,0.19190561200492084,0.011064004006768127
Time SOCP b,10,21.866924627010466,0.030222483994439244,0.0011683038413483476,18,21.866931955665024,0.05852008200250566,0.011227325404781578,32,21.86732487278205,0.10775607799179852,0.022020201446426274,56,21.868225463551557,0.1748755039833486,0.017577674293414114
Time SQP abu,10,20.767165963903935,1.3190559740224854,0.09695375616934222,18,20.767389097541187,3.2854750420199705,0.17688826378419956,32,20.76751740227072,11.368897868003696,0.3443657699021842,56,20.76833532228998,34.45693968798965,1.1781496739324682
Time SQP b,10,21.867008129435142,4.439542345982045,0.17882885760469283,18,21.86696320523476,7.838041425989941,0.30177264133492965,32,21.86733973916762,4.721805533999577,0.20221841851451172,56,21.86838786193014,3.6537997859716413,0.17073299332021782
