Model Name,N = 10,Time Traverse N = 10,Time Compute N= 10,Std Compute N= 10,N = 18,Time Traverse N = 18,Time Compute N= 18,Std Compute N= 18,N = 32,Time Traverse N = 32,Time Compute N= 32,Std Compute N= 32,N = 56,Time Traverse N = 56,Time Compute N= 56,Std Compute N= 56,N = 100,Time Traverse N = 100,Time Compute N= 100,Std Compute N= 100
Time abu,10,20.217932125671126,0.1750796060124412,0.02958867546908154,18,20.21816718647895,0.8395056800032035,0.08408526937865218,32,20.218417853937254,4.30479420799762,0.3501890524889373,56,20.219225320960057,21.936165622011757,1.6841271214801454,100,20.219628417448124,126.22200699598994,10.281426948274238
Time bu,10,20.21793130490021,0.10528596201445907,0.0206821644767123,18,20.218167186483313,0.45688225398771465,0.045109583914795894,32,20.218417853939354,1.9529563299985602,0.11536130174563904,56,20.219225007426317,7.65110006400384,0.24814095040346396,100,20.219628417445715,29.629433491993694,0.5194120592532302
Time b,10,20.21793130489794,0.006781159997917712,0.0019664670628228046,18,20.218167186482045,0.022478857985697688,0.00539494634457116,32,20.218417853936497,0.10810508599504828,0.027293802804468723,56,20.21922500742201,0.6213964779954404,0.05242329282303263,100,20.21962841743169,1.7617924379976466,0.10337213304893922
Time SOCP abu,10,20.217931350002424,0.023103638025932013,0.003383730607585047,18,20.218167251372446,0.03835331398528069,0.0028085971874012407,32,20.21841785987673,0.08599254998844116,0.02449039274572587,56,20.219225013586797,0.13591580401174724,0.028723306042088077,100,20.2196284284726,0.22130927602294834,0.030397707750338968
Time SOCP b,10,20.217931350616805,0.021872256016358733,0.004100686736850874,18,20.218167194562277,0.03504406598862261,0.003769438304842603,32,20.21841786408394,0.06336078797467053,0.004226195309214547,56,20.219225010820914,0.11012117598671466,0.014584711241594403,100,20.219628423455525,0.2074722380004823,0.02617020902438992
Time SQP abu,10,20.21793260766964,0.22294936198275536,0.02851077578565257,18,20.218168472155867,0.5243386199977249,0.052013105421751644,32,20.218419133903275,1.1421436380036176,0.08842697747591326,56,20.219225265593032,2.5084344560001046,0.1099361634112864,100,20.219660415376946,7.51095963999629,0.2634710370443323
Time SQP b,10,20.218733791253076,0.8390522839594632,0.06564579263063146,18,20.238074299175864,0.866859341985546,0.07871344205154089,32,20.233419789003037,4.500750526012853,0.24910636109255685,56,20.271915127242252,7.986280812006444,0.23959075423070889,100,20.405149370312092,16.806262342003173,0.4567311118553958
