Model Name,N = 10,Time Traverse N = 10,Time Compute N= 10,Std Compute N= 10,N = 18,Time Traverse N = 18,Time Compute N= 18,Std Compute N= 18,N = 33,Time Traverse N = 33,Time Compute N= 33,Std Compute N= 33
Time SOCP abu,10,38.71937132535759,0.04081675400258973,0.007151231813492669,18,36.31571217479169,0.07952195400022902,0.018059513338294243,33,35.52523153209558,0.13702283399528825,0.018779755868146314
Time SOCP b,10,nan,0.05223537000012584,0.014614374056382523,18,165.4816740308584,0.07621277599711902,0.015140237982888235,33,164.79448188379953,0.14826057199854403,0.027929604876501517
Time SQP abu,10,39.8534066353774,7.1560809419990985,0.2795695159684966,18,39.20156611052306,16.15203573599225,0.4851663396742308,33,39.695701301756195,41.13116867400007,0.9164620864875834
Time SQP b,10,33923.20249963859,3.094202355998568,0.16332215944818318,18,165.4824516424881,0.263561351998942,0.04711814182086983,33,82.4157250615197,0.594772106000455,0.042692450478890746
