Model Name,N = 5,Time Traverse N = 5,Time Compute N= 5,Std Compute N= 5,N = 8,Time Traverse N = 8,Time Compute N= 8,Std Compute N= 8
Time abu,5,20.05941542278988,0.0440201333258301,0.009201839255142437,8,20.060238181260168,0.1181988999984848,0.030431686153225737
Time bu,5,20.059415423776525,0.015193999997184923,0.01229768997321406,8,20.06023818126158,0.019467766668337088,0.0007561932346220092
Time b,5,20.059415422784323,0.0036537666649868092,0.0014658651327480866,8,20.060238181261013,0.002282866664851705,0.00012072117175897744
Time SOCP abu,5,20.059417523513464,0.01877103332662955,0.0070175687315921905,8,20.060238891319983,0.01379086667050918,0.0002492547768794877
Time SOCP b,5,20.059415446550837,0.008119299988417575,2.1653790251860536e-05,8,20.06023819489239,0.012686799998239925,0.0001541012863506884
