Model Name,N = 10,Time Traverse N = 10,Time Compute N= 10,Std Compute N= 10,N = 18,Time Traverse N = 18,Time Compute N= 18,Std Compute N= 18,N = 32,Time Traverse N = 32,Time Compute N= 32,Std Compute N= 32,N = 56,Time Traverse N = 56,Time Compute N= 56,Std Compute N= 56
Time abu,10,28.057648334280163,3.3788847179850565,0.13274070495416454,18,27.420176321984254,19.810852066008373,0.4201668499159139,32,27.147930394505178,125.28777457999065,0.8160074855511854,56,27.11291229229725,683.0728087559901,7.110317246713748
Time bu,10,28.05764890089435,2.741715965974145,0.13861234386483073,18,27.420176322098214,17.709989571995102,0.3685931256757334,32,27.14793039317848,122.59658281799871,0.9547699816394376,56,27.112912294463307,516.3297187179746,2.0295400965680384
Time b,10,29.557685841920822,0.03571048801299184,0.0062355794611628915,18,28.758167191248166,0.11435772002674639,0.021510253517815443,32,28.478126631494415,0.26190644199494273,0.024204022127510126,56,28.436783212236413,0.9753441999712958,0.07620884215482018
Time SOCP abu,10,28.05764832814314,0.03947983201593161,0.012189674543747666,18,27.420176434831145,0.06805149400606751,0.01561464440671822,32,27.147930415551595,0.11228323997929693,0.015110439688478475,56,27.11291253231714,0.20390239999163895,0.029215747164359828
Time SOCP b,10,29.55768587874075,0.033063559969887135,0.009081801660246087,18,28.7581671954563,0.06281300999224186,0.01638151608915473,32,28.478126634098547,0.09880857200827449,0.009412610856050625,56,28.436783225598372,0.1833495899895206,0.026007297324441306
Time SQP abu,10,28.057648337757094,1.4562059579882771,0.1270111972470356,18,27.420176352591277,4.49209029997699,0.1869121159114842,32,27.147930429998766,20.557263344023376,0.4321963851457634,56,27.11291232975765,49.6858471380081,0.5367767189443508
Time SQP b,10,29.557685904624435,1.0981700840266422,0.08137960497907651,18,28.758167236502775,2.0840600420115516,0.1431909125993856,32,28.47812664209266,7.027779481993057,0.2333006965509231,56,28.436783464211096,12.146866108002142,0.328784313238568
