Model Name,N = 10,Time Traverse N = 10,Time Compute N= 10,Std Compute N= 10,N = 18,Time Traverse N = 18,Time Compute N= 18,Std Compute N= 18,N = 32,Time Traverse N = 32,Time Compute N= 32,Std Compute N= 32
Time SOCP abu,10,31.256741774348374,0.04330282600363716,0.010384553688070617,18,31.123803696304222,0.07020618600014132,0.010355699156030365,32,31.106467573706905,0.1339554480003426,0.020082716112110446
Time SOCP b,10,80.99931800965534,0.04238329000014346,0.010141738123151849,18,83.7787627171976,0.06935695200168994,0.0032058045503412886,32,85.22196954438805,0.13051011400064452,0.01612917604283253
Time SQP abu,10,31.290216240464005,7.134475092003122,0.4439322877101657,18,31.297827468318694,1.7628863700007786,0.08749217515495848,32,31.379891810032277,4.316445632001851,0.22686831729035786
Time SQP b,10,81.00028566061079,0.0765535220032325,0.014847169066171739,18,83.78010433273028,0.11913660799851641,0.004349591976594053,32,85.22611287111005,0.2494637259998126,0.03680713790309471
